FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
954,4190,Noise - Vehicle,40.72266259,-73.9979797,10AM,SoHo-TriBeCa-Civic Center-Little Italy
986,4875,Noise - Vehicle,40.72052993,-73.99866159,9AM,SoHo-TriBeCa-Civic Center-Little Italy
1010,903,Noise - Vehicle,40.79859163,-73.93552587,4PM,East Harlem North
1012,1020,Noise - Vehicle,40.80346885,-73.93525024,2PM,East Harlem North
1038,4283,Noise - Vehicle,40.7956137,-73.93570573,9PM,East Harlem North
1040,4378,Noise - Vehicle,40.79197289,-73.93836365,3AM,East Harlem North
1046,4530,Noise - Vehicle,40.79817879,-73.93848431,12AM,East Harlem North
1051,4862,Noise - Vehicle,40.7976786,-73.93728206,7PM,East Harlem North
1054,68,Noise - Vehicle,40.71575954,-73.99882763,4AM,Chinatown
1076,818,Noise - Vehicle,40.7212238,-73.98863606,7AM,Chinatown
1081,934,Noise - Vehicle,40.71525722,-73.99741358,12AM,Chinatown
1089,1221,Noise - Vehicle,40.7157455,-73.99144347,11PM,Chinatown
1115,1926,Noise - Vehicle,40.71674753,-73.99454207,9PM,Chinatown
1125,2128,Noise - Vehicle,40.71674753,-73.99454207,8PM,Chinatown
1169,3119,Noise - Vehicle,40.72123469,-73.98777023,12AM,Chinatown
1188,3473,Noise - Vehicle,40.72281885,-73.99308767,11PM,Chinatown
1191,3510,Noise - Vehicle,40.71461498,-73.99959599,11PM,Chinatown
1282,6,Noise - Vehicle,40.8556644,-73.92940114,10PM,Washington Heights North
1285,15,Noise - Vehicle,40.85179479,-73.93009927,12AM,Washington Heights North
1290,65,Noise - Vehicle,40.86064749,-73.92732798,12PM,Washington Heights North
1293,197,Noise - Vehicle,40.85109628,-73.93243506,1AM,Washington Heights North
1296,259,Noise - Vehicle,40.86644898,-73.9304888,5PM,Washington Heights North
1306,361,Noise - Vehicle,40.85659934,-73.92778065,10PM,Washington Heights North
1316,500,Noise - Vehicle,40.85587978,-73.93155178,9PM,Washington Heights North
1317,503,Noise - Vehicle,40.85081189,-73.93426435,9PM,Washington Heights North
1324,613,Noise - Vehicle,40.85855469,-73.92960413,3PM,Washington Heights North
1327,758,Noise - Vehicle,40.86323823,-73.92692385,12AM,Washington Heights North
1331,898,Noise - Vehicle,40.86221618,-73.92969425,11PM,Washington Heights North
1333,967,Noise - Vehicle,40.85855469,-73.92960413,10AM,Washington Heights North
1357,1418,Noise - Vehicle,40.86303294,-73.92782428,2AM,Washington Heights North
1382,2061,Noise - Vehicle,40.85193745,-73.92998345,5PM,Washington Heights North
1394,2274,Noise - Vehicle,40.85855469,-73.92960413,7PM,Washington Heights North
1400,2323,Noise - Vehicle,40.86169722,-73.92934774,5PM,Washington Heights North
1408,2411,Noise - Vehicle,40.85773453,-73.93513957,12PM,Washington Heights North
1409,2433,Noise - Vehicle,40.84869282,-73.92935432,1AM,Washington Heights North
1414,2715,Noise - Vehicle,40.85736721,-73.9312249,11PM,Washington Heights North
1438,3542,Noise - Vehicle,40.85358286,-73.93222649,12AM,Washington Heights North
1440,3555,Noise - Vehicle,40.85300787,-73.93968792,7PM,Washington Heights North
1441,3559,Noise - Vehicle,40.85072806,-73.93650912,2AM,Washington Heights North
1457,3979,Noise - Vehicle,40.86169722,-73.92934774,6PM,Washington Heights North
1475,4526,Noise - Vehicle,40.86174999,-73.92596745,2PM,Washington Heights North
1490,160,Noise - Vehicle,40.71156995,-74.01578457,10PM,Battery Park City-Lower Manhattan
1521,707,Noise - Vehicle,40.70516434,-74.00983916,10PM,Battery Park City-Lower Manhattan
1539,1076,Noise - Vehicle,40.70834569,-74.00763942,5AM,Battery Park City-Lower Manhattan
1563,1893,Noise - Vehicle,40.70703034,-74.01401615,3AM,Battery Park City-Lower Manhattan
1606,3422,Noise - Vehicle,40.70514786,-74.00998343,10PM,Battery Park City-Lower Manhattan
1607,3457,Noise - Vehicle,40.70508472,-74.0100267,11PM,Battery Park City-Lower Manhattan
1625,4270,Noise - Vehicle,40.70637506,-74.00569153,12AM,Battery Park City-Lower Manhattan
1628,4496,Noise - Vehicle,40.71087091,-74.00695798,5AM,Battery Park City-Lower Manhattan
1654,4889,Noise - Vehicle,40.706015,-74.01212599,7AM,Battery Park City-Lower Manhattan
1663,398,Noise - Vehicle,40.77801455,-73.98211632,4AM,Lincoln Square
1672,678,Noise - Vehicle,40.76926719,-73.98296345,11PM,Lincoln Square
1675,715,Noise - Vehicle,40.76984927,-73.98431353,11PM,Lincoln Square
1676,722,Noise - Vehicle,40.76920129,-73.98276491,10PM,Lincoln Square
1686,816,Noise - Vehicle,40.77573665,-73.98373446,6AM,Lincoln Square
1693,844,Noise - Vehicle,40.76930288,-73.98300316,9PM,Lincoln Square
1722,1219,Noise - Vehicle,40.77404782,-73.97873077,7PM,Lincoln Square
1749,1797,Noise - Vehicle,40.77089176,-73.98094849,5AM,Lincoln Square
1771,2377,Noise - Vehicle,40.77891451,-73.98021683,9PM,Lincoln Square
1780,2767,Noise - Vehicle,40.77741014,-73.9787983,10AM,Lincoln Square
1784,2868,Noise - Vehicle,40.76922627,-73.98476495,1PM,Lincoln Square
1788,2933,Noise - Vehicle,40.76922627,-73.98476495,11AM,Lincoln Square
1806,3800,Noise - Vehicle,40.7786921,-73.97971501,9AM,Lincoln Square
1809,3956,Noise - Vehicle,40.77929069,-73.98113385,10AM,Lincoln Square
1821,143,Noise - Vehicle,40.7567014,-73.98064574,12PM,Midtown-Midtown South
1834,515,Noise - Vehicle,40.74394427,-73.98362673,12AM,Midtown-Midtown South
1857,970,Noise - Vehicle,40.7475958,-73.99418585,3AM,Midtown-Midtown South
1910,2067,Noise - Vehicle,40.76177066,-73.97905596,10PM,Midtown-Midtown South
1912,2070,Noise - Vehicle,40.7472362,-73.99335942,7AM,Midtown-Midtown South
2018,3744,Noise - Vehicle,40.76045419,-73.98565495,9AM,Midtown-Midtown South
2019,3778,Noise - Vehicle,40.76045419,-73.98565495,3PM,Midtown-Midtown South
2078,4752,Noise - Vehicle,40.76499528,-73.97670485,2AM,Midtown-Midtown South
2091,4937,Noise - Vehicle,40.76094611,-73.9735694,12PM,Midtown-Midtown South
2115,124,Noise - Vehicle,40.7403932,-73.98894674,12PM,Hudson Yards-Chelsea-Flatiron-Union Square
2116,131,Noise - Vehicle,40.74228478,-74.0044171,1AM,Hudson Yards-Chelsea-Flatiron-Union Square
2167,683,Noise - Vehicle,40.74745857,-74.00567338,11PM,Hudson Yards-Chelsea-Flatiron-Union Square
2184,1012,Noise - Vehicle,40.74212017,-73.99854568,9PM,Hudson Yards-Chelsea-Flatiron-Union Square
2188,1094,Noise - Vehicle,40.74309987,-74.00638033,1AM,Hudson Yards-Chelsea-Flatiron-Union Square
2207,1275,Noise - Vehicle,40.76015316,-73.99879436,11PM,Hudson Yards-Chelsea-Flatiron-Union Square
2209,1320,Noise - Vehicle,40.7527231,-73.99678772,4PM,Hudson Yards-Chelsea-Flatiron-Union Square
2213,1382,Noise - Vehicle,40.7527231,-73.99678772,4PM,Hudson Yards-Chelsea-Flatiron-Union Square
2219,1426,Noise - Vehicle,40.74369002,-74.00595455,12PM,Hudson Yards-Chelsea-Flatiron-Union Square
2240,1620,Noise - Vehicle,40.7388232,-73.98891813,7PM,Hudson Yards-Chelsea-Flatiron-Union Square
2258,1799,Noise - Vehicle,40.74617948,-74.00637341,5AM,Hudson Yards-Chelsea-Flatiron-Union Square
2266,1865,Noise - Vehicle,40.74617948,-74.00637341,3AM,Hudson Yards-Chelsea-Flatiron-Union Square
2276,1967,Noise - Vehicle,40.75317875,-73.99790298,12AM,Hudson Yards-Chelsea-Flatiron-Union Square
2313,2338,Noise - Vehicle,40.73658381,-73.99318367,2PM,Hudson Yards-Chelsea-Flatiron-Union Square
2324,2456,Noise - Vehicle,40.74164256,-73.99743421,2AM,Hudson Yards-Chelsea-Flatiron-Union Square
2359,2892,Noise - Vehicle,40.74349528,-73.99822808,9PM,Hudson Yards-Chelsea-Flatiron-Union Square
2373,3012,Noise - Vehicle,40.74462887,-73.99897147,11PM,Hudson Yards-Chelsea-Flatiron-Union Square
2374,3043,Noise - Vehicle,40.74106619,-73.99968244,6PM,Hudson Yards-Chelsea-Flatiron-Union Square
2381,3084,Noise - Vehicle,40.74113481,-73.99984483,10AM,Hudson Yards-Chelsea-Flatiron-Union Square
2388,3147,Noise - Vehicle,40.74111834,-73.99980152,10PM,Hudson Yards-Chelsea-Flatiron-Union Square
2391,3196,Noise - Vehicle,40.74111834,-73.99980152,5PM,Hudson Yards-Chelsea-Flatiron-Union Square
2409,3359,Noise - Vehicle,40.7527231,-73.99678772,2PM,Hudson Yards-Chelsea-Flatiron-Union Square
2424,3485,Noise - Vehicle,40.74303092,-73.98915561,7PM,Hudson Yards-Chelsea-Flatiron-Union Square
2425,3514,Noise - Vehicle,40.75648891,-73.99775849,7AM,Hudson Yards-Chelsea-Flatiron-Union Square
2430,3703,Noise - Vehicle,40.73736073,-73.99683898,1AM,Hudson Yards-Chelsea-Flatiron-Union Square
2445,4004,Noise - Vehicle,40.73848843,-73.98995023,10AM,Hudson Yards-Chelsea-Flatiron-Union Square
2451,4067,Noise - Vehicle,40.75648891,-73.99775849,5AM,Hudson Yards-Chelsea-Flatiron-Union Square
2456,4160,Noise - Vehicle,40.74335256,-74.0015193,8PM,Hudson Yards-Chelsea-Flatiron-Union Square
2479,4488,Noise - Vehicle,40.73848843,-73.98995023,12PM,Hudson Yards-Chelsea-Flatiron-Union Square
2489,4671,Noise - Vehicle,40.74644037,-74.00324807,11PM,Hudson Yards-Chelsea-Flatiron-Union Square
2494,4697,Noise - Vehicle,40.74297089,-74.00602666,9AM,Hudson Yards-Chelsea-Flatiron-Union Square
2502,4791,Noise - Vehicle,40.74041294,-73.99999639,6AM,Hudson Yards-Chelsea-Flatiron-Union Square
2504,4869,Noise - Vehicle,40.74406051,-74.00680988,4AM,Hudson Yards-Chelsea-Flatiron-Union Square
2513,4966,Noise - Vehicle,40.74406051,-74.00680988,11PM,Hudson Yards-Chelsea-Flatiron-Union Square
2525,272,Noise - Vehicle,40.7784016,-73.95301398,4AM,Yorkville
2527,285,Noise - Vehicle,40.7784016,-73.95301398,9AM,Yorkville
2558,1711,Noise - Vehicle,40.77623713,-73.95586787,8PM,Yorkville
2559,1748,Noise - Vehicle,40.77301883,-73.95218739,10PM,Yorkville
2563,1874,Noise - Vehicle,40.77524413,-73.95057188,12AM,Yorkville
2573,2391,Noise - Vehicle,40.77576655,-73.95277393,11PM,Yorkville
2576,2449,Noise - Vehicle,40.77650286,-73.95456427,11PM,Yorkville
2578,2461,Noise - Vehicle,40.77592316,-73.95316737,12AM,Yorkville
2582,2490,Noise - Vehicle,40.77639571,-73.95428994,10PM,Yorkville
2619,3634,Noise - Vehicle,40.77619625,-73.94987072,2AM,Yorkville
2640,4798,Noise - Vehicle,40.77599536,-73.95526867,10PM,Yorkville
2644,115,Noise - Vehicle,40.7813875,-73.9521236,7AM,Upper East Side-Carnegie Hill
2657,642,Noise - Vehicle,40.77732977,-73.95648095,11PM,Upper East Side-Carnegie Hill
2665,965,Noise - Vehicle,40.78080114,-73.95462994,5PM,Upper East Side-Carnegie Hill
2667,1096,Noise - Vehicle,40.78080114,-73.95462994,11AM,Upper East Side-Carnegie Hill
2670,1279,Noise - Vehicle,40.78051461,-73.95906421,12AM,Upper East Side-Carnegie Hill
2676,1334,Noise - Vehicle,40.77988384,-73.96057391,11PM,Upper East Side-Carnegie Hill
2678,1353,Noise - Vehicle,40.78033742,-73.95498411,6PM,Upper East Side-Carnegie Hill
2683,1550,Noise - Vehicle,40.78033742,-73.95498411,8PM,Upper East Side-Carnegie Hill
2684,1632,Noise - Vehicle,40.78017278,-73.95509255,5PM,Upper East Side-Carnegie Hill
2685,1716,Noise - Vehicle,40.78033742,-73.95498411,5PM,Upper East Side-Carnegie Hill
2686,1717,Noise - Vehicle,40.77164073,-73.96719292,9AM,Upper East Side-Carnegie Hill
2688,1721,Noise - Vehicle,40.78033742,-73.95498411,9PM,Upper East Side-Carnegie Hill
2692,1861,Noise - Vehicle,40.78320146,-73.95839815,3AM,Upper East Side-Carnegie Hill
2702,2122,Noise - Vehicle,40.77949776,-73.95558407,9PM,Upper East Side-Carnegie Hill
2730,2796,Noise - Vehicle,40.78075365,-73.95257541,9AM,Upper East Side-Carnegie Hill
2731,2855,Noise - Vehicle,40.78419214,-73.95097328,10PM,Upper East Side-Carnegie Hill
2734,3306,Noise - Vehicle,40.78085761,-73.95881486,9PM,Upper East Side-Carnegie Hill
2737,3476,Noise - Vehicle,40.78106921,-73.95235131,9PM,Upper East Side-Carnegie Hill
