time,commercial,helicopter,house,park,street,vehicle
12AM,84,0,0,0,17,15
1AM,50,0,0,0,13,3
2AM,39,1,0,0,8,5
3AM,8,0,0,0,10,2
4AM,5,0,0,0,3,11
5AM,0,0,0,0,2,5
6AM,0,1,0,0,6,5
7AM,2,0,0,2,6,8
8AM,3,1,0,0,1,6
9AM,7,0,0,0,5,11
10AM,7,3,0,0,3,3
11AM,8,0,2,0,5,6
12PM,2,0,0,0,3,7
1PM,4,0,1,2,6,11
2PM,3,0,1,0,8,2
3PM,10,0,1,0,6,7
4PM,4,0,0,0,1,5
5PM,4,0,0,0,4,3
6PM,7,1,2,0,3,6
7PM,9,1,0,0,1,2
8PM,10,0,0,0,7,3
9PM,34,1,0,0,12,3
10PM,54,0,0,0,15,24
11PM,87,0,0,0,20,13
