FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
465,465,Noise - Street/Sidewalk,40.7671875,-73.98996395,2AM,Clinton
466,475,Noise - Street/Sidewalk,40.76804936,-73.99008656,2AM,Clinton
473,586,Noise - Street/Sidewalk,40.76929579,-73.99493849,8AM,Clinton
478,619,Noise - Street/Sidewalk,40.76411325,-73.98849517,2AM,Clinton
482,647,Noise - Street/Sidewalk,40.76749529,-73.99626715,2PM,Clinton
483,653,Noise - Street/Sidewalk,40.76473626,-73.98803299,2AM,Clinton
486,737,Noise - Street/Sidewalk,40.76242266,-73.99028594,12AM,Clinton
511,1402,Noise - Street/Sidewalk,40.7679965,-73.98380133,9AM,Clinton
518,1589,Noise - Street/Sidewalk,40.76362248,-73.99701462,1AM,Clinton
519,1596,Noise - Street/Sidewalk,40.76072062,-73.98724679,12AM,Clinton
535,1889,Noise - Street/Sidewalk,40.7679965,-73.98380133,8AM,Clinton
536,1894,Noise - Street/Sidewalk,40.7621841,-73.99361062,8AM,Clinton
563,2121,Noise - Street/Sidewalk,40.76410245,-73.9904337,12AM,Clinton
585,2467,Noise - Street/Sidewalk,40.76440175,-73.99197871,11PM,Clinton
598,2768,Noise - Street/Sidewalk,40.76670463,-73.99267879,8PM,Clinton
616,3037,Noise - Street/Sidewalk,40.77006131,-73.99077582,11PM,Clinton
652,3690,Noise - Street/Sidewalk,40.76217046,-73.99552022,6AM,Clinton
687,4183,Noise - Street/Sidewalk,40.75945853,-73.99296114,9PM,Clinton
714,4621,Noise - Street/Sidewalk,40.7621841,-73.99361062,10PM,Clinton
742,438,Noise - Street/Sidewalk,40.71238602,-74.00687878,12PM,SoHo-TriBeCa-Civic Center-Little Italy
743,444,Noise - Street/Sidewalk,40.71238602,-74.00687878,12PM,SoHo-TriBeCa-Civic Center-Little Italy
766,836,Noise - Street/Sidewalk,40.71749685,-74.00536781,10PM,SoHo-TriBeCa-Civic Center-Little Italy
779,1006,Noise - Street/Sidewalk,40.71804586,-73.99603544,12AM,SoHo-TriBeCa-Civic Center-Little Italy
829,1922,Noise - Street/Sidewalk,40.72401551,-74.00787933,11PM,SoHo-TriBeCa-Civic Center-Little Italy
849,2343,Noise - Street/Sidewalk,40.71938497,-74.00953102,6PM,SoHo-TriBeCa-Civic Center-Little Italy
853,2399,Noise - Street/Sidewalk,40.7205353,-73.99466441,1AM,SoHo-TriBeCa-Civic Center-Little Italy
868,2692,Noise - Street/Sidewalk,40.72307966,-73.99401843,9AM,SoHo-TriBeCa-Civic Center-Little Italy
871,2727,Noise - Street/Sidewalk,40.71590195,-74.00855655,4AM,SoHo-TriBeCa-Civic Center-Little Italy
880,2791,Noise - Street/Sidewalk,40.71882541,-73.99753249,6PM,SoHo-TriBeCa-Civic Center-Little Italy
