LATITUDE,LONGITUDE
,
40.787693,-73.98115
40.807095,-73.945984
40.709496,-74.0139
40.747917,-73.9736
40.726505,-73.9883
40.83406,-73.944885
40.766483,-73.98828
40.779434,-73.97555
40.74833,-73.99256
40.86369,-73.91707
40.758316,-73.99026
40.742283,-74.004425
40.77882,-73.953995
40.76156,-73.974686
40.820873,-73.94516
40.838474,-73.94375
40.797,-73.93778
40.71958,-73.991585
40.74223,-73.9933
40.84784,-73.93953
40.738686,-73.99588
40.802223,-73.954185
40.772923,-73.98952
40.76428,-73.97302
40.79356,-73.96702
40.85238,-73.9315
40.75881,-73.97006
40.763023,-73.97815
40.741547,-73.98958
40.740196,-73.992165
40.734516,-73.98338
40.76311,-73.962524
40.75898,-73.99595
40.809605,-73.94981
40.711533,-74.01047
40.737617,-74.0028
40.70501,-74.00715
40.735996,-74.00989
40.72636,-73.97873
40.743244,-73.98965
40.703587,-74.01312
40.76685,-73.95376
40.754707,-73.99164
40.757145,-73.99357
40.734947,-74.006096
40.749004,-73.99375
40.794735,-73.96988
40.73659,-73.99321
40.71317,-74.009315
40.75425,-73.96899
40.7441,-73.99565
40.801025,-73.93474
40.76468,-73.9643
40.778606,-73.98163
40.7736,-73.98158
40.71918,-73.99029
40.817543,-73.95694
40.74073,-73.981766
40.839172,-73.943474
40.752415,-73.97838
40.827152,-73.946205
40.728523,-74.004425
40.77176,-73.98304
40.766167,-73.954254
40.79084,-73.97457
40.824203,-73.94118
40.762287,-73.972374
40.740112,-73.98222
40.780437,-73.94989
40.764202,-73.9554
40.795437,-73.943954
40.718018,-73.99996
40.815228,-73.945595
40.752098,-73.98612
40.73398,-73.98669
40.841076,-73.93977
40.815403,-73.93992
40.74044,-73.9946
40.76552,-73.97211
40.76229,-73.974464
40.77039,-73.954124
40.719482,-73.991295
40.859974,-73.92221
40.764214,-73.97096
40.763195,-73.9745
40.850487,-73.93685
40.718674,-73.986275
40.74197,-73.980865
40.75319,-73.98023
40.711018,-74.0108
40.799313,-73.933014
40.720837,-73.997665
40.738167,-73.98364
40.72102,-74.003784
40.712196,-74.00857
40.73132,-73.98862
40.75478,-73.97994
40.73261,-74.00277
40.836555,-73.94306
40.737797,-73.99013
40.806915,-73.93557
40.77461,-73.94809
40.72422,-74.00865
40.79816,-73.94055
40.73174,-73.99147
40.859325,-73.93132
40.864197,-73.928604
40.85226,-73.93549
40.738976,-73.9966
40.780693,-73.9466
40.76292,-73.97599
40.804745,-73.938324
40.794502,-73.96351
40.753407,-73.99049
40.80128,-73.96561
40.746807,-73.98658
40.861744,-73.92486
40.802074,-73.93912
40.78085,-73.96093
40.780125,-73.95304
40.820694,-73.936874
40.759842,-73.984184
40.780754,-73.95258
40.775604,-73.94428
40.786545,-73.95256
40.754154,-73.9804
40.76403,-73.982475
40.761868,-73.97056
40.73453,-73.99227
40.789684,-73.94815
40.74668,-73.9745
40.852703,-73.93013
40.741474,-74.00247
40.74285,-73.97721
40.760365,-73.97377
40.775562,-73.95035
40.804886,-73.96248
40.760952,-73.99268
40.721966,-74.00824
40.812008,-73.951515
40.760925,-73.96705
40.74595,-73.99802
40.720726,-73.98231
40.725796,-73.986626
40.72521,-73.99586
40.74775,-73.98086
40.75645,-74.00151
40.79099,-73.96518
40.80297,-73.96387
40.799984,-73.944855
40.768803,-73.952324
40.70812,-73.999435
40.834534,-73.93897
40.716454,-73.98058
40.747185,-73.98752
40.76729,-73.98008
40.761036,-73.98512
40.754425,-73.995544
40.718666,-73.985306
40.77593,-73.94713
40.7491,-73.99201
40.867012,-73.92312
40.720425,-73.98634
40.761856,-73.96343
40.845623,-73.933
40.826263,-73.95213
40.83923,-73.94555
40.72032,-73.99404
40.72066,-73.98892
40.789455,-73.94764
40.787224,-73.95417
40.761093,-73.98327
40.69467,-73.93115
40.722446,-74.006165
40.714714,-73.992836
40.73136,-74.00121
40.845257,-73.93871
40.71983,-73.98755
40.75604,-73.99066
40.75783,-73.99125
40.79676,-73.9451
40.73579,-73.98537
40.722282,-73.98018
40.709503,-74.00167
40.73512,-73.98586
40.769268,-73.96937
40.79458,-73.97371
40.74955,-74.00654
40.787685,-73.97502
40.77588,-73.97731
40.707115,-74.00734
40.705147,-74.00999
40.744064,-73.98964
40.743225,-74.008644
40.762737,-73.9597
40.719067,-73.99336
40.78653,-73.97634
40.748974,-74.00324
40.808163,-73.94519
40.745777,-73.995674
40.762177,-73.96613
40.717327,-73.99946
40.745403,-73.98467
40.752663,-73.981476
40.71286,-73.99649
40.76136,-73.98777
40.744587,-73.98706
40.776512,-73.98841
40.8017,-73.93904
40.83427,-73.94537
40.71885,-73.98923
40.755108,-73.98878
40.754295,-73.98491
40.72543,-73.99678
40.757828,-73.99308
40.822884,-73.95574
40.771076,-73.947586
40.722633,-73.99506
40.86674,-73.92873
40.768307,-73.98663
40.713253,-74.00926
40.76552,-73.98004
40.74775,-73.989265
40.745686,-73.97213
40.764614,-73.95833
40.714005,-73.99749
40.71529,-73.99171
40.799786,-73.968216
40.810173,-73.937416
40.717922,-73.99511
